task,dataset,image,sigma255,method,transition,dx,dy,klt_survival,klt_epe,klt_bad1,klt_bad3,farneback_epe,farneback_median_epe,farneback_bad1,farneback_bad3,farneback_bias_dx,farneback_bias_dy
tracking_flow,kodak24,kodim01,20,noisy,0.0,2.0,1.0,1.0,0.15866434574127197,0.0037593984962406013,0.0037593984962406013,0.15322309732437134,0.1303800344467163,0.0,0.0,0.011900113895535469,0.009359832853078842
tracking_flow,kodak24,kodim01,20,noisy,1.0,2.0,1.0,1.0,0.11479618400335312,0.0,0.0,0.1374415159225464,0.11825287342071533,5.864414731409805e-05,0.0,-0.010910364799201488,-0.009307106025516987
tracking_flow,kodak24,kodim01,20,noisy,2.0,2.0,1.0,1.0,0.1207691878080368,0.0,0.0,0.1617414504289627,0.140392005443573,0.0009383063570255688,0.0,-0.02307022549211979,-0.033223509788513184
tracking_flow,kodak24,kodim01,20,noisy,3.0,2.0,1.0,1.0,0.11241653561592102,0.0,0.0,0.14696775376796722,0.12945932149887085,0.0,0.0,0.02281774953007698,0.019964003935456276
tracking_flow,kodak24,kodim01,20,noisy,4.0,2.0,1.0,1.0,0.11715230345726013,0.0,0.0,0.15209898352622986,0.1317664384841919,0.0,0.0,-0.018169766291975975,-0.02417203038930893
tracking_flow,kodak24,kodim01,20,noisy,5.0,2.0,1.0,1.0,0.11352529376745224,0.0,0.0,0.14920830726623535,0.12507100403308868,0.0,0.0,0.019623680040240288,-8.592498488724232e-05
tracking_flow,kodak24,kodim01,20,noisy,6.0,2.0,1.0,1.0,0.1188334971666336,0.0,0.0,0.1506500244140625,0.13420677185058594,0.0,0.0,-0.020696839317679405,0.0013444246724247932
tracking_flow,kodak24,kodim01,20,tv_maxiter,0.0,2.0,1.0,1.0,0.18805621564388275,0.0037593984962406013,0.0037593984962406013,0.1578502207994461,0.13476026058197021,0.0,0.0,0.007892400026321411,0.007609928026795387
tracking_flow,kodak24,kodim01,20,tv_maxiter,1.0,2.0,1.0,1.0,0.1289118379354477,0.0,0.0,0.14586763083934784,0.12264634668827057,0.00038118695754163734,0.0,-0.013654325157403946,-0.03318168967962265
tracking_flow,kodak24,kodim01,20,tv_maxiter,2.0,2.0,1.0,1.0,0.1296444982290268,0.0,0.0,0.1530771255493164,0.13339129090309143,0.0,0.0,-0.028654826804995537,-0.017847375944256783
tracking_flow,kodak24,kodim01,20,tv_maxiter,3.0,2.0,1.0,1.0,0.12847059965133667,0.0,0.0,0.14846915006637573,0.1299891173839569,0.0,0.0,0.010078548453748226,0.025330932810902596
tracking_flow,kodak24,kodim01,20,tv_maxiter,4.0,2.0,1.0,1.0,0.13523223996162415,0.0,0.0,0.16045968234539032,0.13551701605319977,0.0,0.0,-0.006446718238294125,-0.023459941148757935
tracking_flow,kodak24,kodim01,20,tv_maxiter,5.0,2.0,1.0,1.0,0.14990997314453125,0.0036363636363636364,0.0036363636363636364,0.15810222923755646,0.13288816809654236,0.0,0.0,0.01829236000776291,0.009934830479323864
tracking_flow,kodak24,kodim01,20,tv_maxiter,6.0,2.0,1.0,1.0,0.13183456659317017,0.0,0.0,0.15027298033237457,0.13362491130828857,0.0,0.0,-0.02149307169020176,-0.0034737568348646164
tracking_flow,kodak24,kodim01,20,tv_fixedk_val,0.0,2.0,1.0,1.0,0.18738152086734772,0.0037593984962406013,0.0037593984962406013,0.1561938226222992,0.13364511728286743,8.796622097114708e-05,0.0,0.009393982589244843,0.0072978646494448185
tracking_flow,kodak24,kodim01,20,tv_fixedk_val,1.0,2.0,1.0,1.0,0.12838798761367798,0.0,0.0,0.1436709612607956,0.12155478447675705,0.0002345765892563922,0.0,-0.01366616040468216,-0.03198864310979843
tracking_flow,kodak24,kodim01,20,tv_fixedk_val,2.0,2.0,1.0,1.0,0.12845739722251892,0.0,0.0,0.15092845261096954,0.1315728724002838,0.0,0.0,-0.02774534374475479,-0.017678074538707733
tracking_flow,kodak24,kodim01,20,tv_fixedk_val,3.0,2.0,1.0,1.0,0.12721209228038788,0.0,0.0,0.14733430743217468,0.12863612174987793,0.0,0.0,0.009723111055791378,0.0249177273362875
tracking_flow,kodak24,kodim01,20,tv_fixedk_val,4.0,2.0,1.0,1.0,0.1338704526424408,0.0,0.0,0.1579812914133072,0.1338478922843933,0.0,0.0,-0.00645263958722353,-0.02418658882379532
tracking_flow,kodak24,kodim01,20,tv_fixedk_val,5.0,2.0,1.0,1.0,0.14892630279064178,0.0036363636363636364,0.0036363636363636364,0.15476998686790466,0.1314493715763092,0.0,0.0,0.0174060370773077,0.0077379303984344006
tracking_flow,kodak24,kodim01,20,tv_fixedk_val,6.0,2.0,1.0,1.0,0.13097727298736572,0.0,0.0,0.14802753925323486,0.13158884644508362,0.0,0.0,-0.021505272015929222,-0.0022736473474651575
tracking_flow,kodak24,kodim01,20,tv_discrepancy,0.0,2.0,1.0,1.0,0.18805621564388275,0.0037593984962406013,0.0037593984962406013,0.1578502207994461,0.13476026058197021,0.0,0.0,0.007892400026321411,0.007609928026795387
tracking_flow,kodak24,kodim01,20,tv_discrepancy,1.0,2.0,1.0,1.0,0.1289118379354477,0.0,0.0,0.14586763083934784,0.12264634668827057,0.00038118695754163734,0.0,-0.013654325157403946,-0.03318168967962265
tracking_flow,kodak24,kodim01,20,tv_discrepancy,2.0,2.0,1.0,1.0,0.1296444982290268,0.0,0.0,0.1530771255493164,0.13339129090309143,0.0,0.0,-0.028654826804995537,-0.017847375944256783
