task,dataset,image,quality,method,bpp,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output
jpeg_compression,kodak24,kodim01,10,noisy,0.5957602339181286,23.7000296919334,0.6466968059539795,0.8894767761230469,0.03436899557709694,0.35744088888168335,0.1316821277141571
jpeg_compression,kodak24,kodim01,20,noisy,0.9841008771929824,24.39146932248204,0.6794528365135193,0.9094902873039246,0.03383154422044754,0.35744088888168335,0.1588374823331833
jpeg_compression,kodak24,kodim01,30,noisy,1.2905701754385965,24.380480492674046,0.6796053051948547,0.915046215057373,0.03350457549095154,0.35744088888168335,0.17554831504821777
jpeg_compression,kodak24,kodim01,50,noisy,1.9175804093567252,23.547057883482374,0.6508944630622864,0.9129487872123718,0.03553871065378189,0.35744088888168335,0.21620973944664001
jpeg_compression,kodak24,kodim01,70,noisy,2.766264619883041,22.845945738507233,0.6233496069908142,0.9150212407112122,0.03559279814362526,0.35744088888168335,0.2542647421360016
jpeg_compression,kodak24,kodim01,10,tv_maxiter,0.46345029239766083,24.01753199307741,0.6011567115783691,0.8573489785194397,0.035689570009708405,0.35744088888168335,0.0756610706448555
jpeg_compression,kodak24,kodim01,20,tv_maxiter,0.6960891812865497,25.63993109247265,0.6869022846221924,0.9132863879203796,0.029776522889733315,0.35744088888168335,0.08175227046012878
jpeg_compression,kodak24,kodim01,30,tv_maxiter,0.8821271929824561,26.173552557770567,0.7159512639045715,0.9271447658538818,0.028142953291535378,0.35744088888168335,0.08290482312440872
jpeg_compression,kodak24,kodim01,50,tv_maxiter,1.2002923976608186,26.72454795012706,0.7398707270622253,0.9368276000022888,0.026734519749879837,0.35744088888168335,0.08533920347690582
jpeg_compression,kodak24,kodim01,70,tv_maxiter,1.6162280701754386,27.062752287784043,0.7570645213127136,0.9427894949913025,0.02574111707508564,0.35744088888168335,0.08676410466432571
jpeg_compression,kodak24,kodim01,10,tv_fixedk_val,0.4618055555555556,24.009752148054787,0.600260317325592,0.8566899299621582,0.035807736217975616,0.35744088888168335,0.07510479539632797
jpeg_compression,kodak24,kodim01,20,tv_fixedk_val,0.694078947368421,25.647380663700638,0.6862342953681946,0.9128260016441345,0.029863858595490456,0.35744088888168335,0.08143606781959534
jpeg_compression,kodak24,kodim01,30,tv_fixedk_val,0.8797514619883041,26.172682162361404,0.7146925926208496,0.9267306327819824,0.028219524770975113,0.35744088888168335,0.08244124054908752
jpeg_compression,kodak24,kodim01,50,tv_fixedk_val,1.1937134502923976,26.720886282097066,0.7388848662376404,0.9363933801651001,0.02687085047364235,0.35744088888168335,0.08485249429941177
jpeg_compression,kodak24,kodim01,70,tv_fixedk_val,1.6107456140350878,27.071370272043367,0.7567100524902344,0.9427833557128906,0.025812316685914993,0.35744088888168335,0.08634363114833832
jpeg_compression,kodak24,kodim01,10,tv_discrepancy,0.46345029239766083,24.01753199307741,0.6011567115783691,0.8573489785194397,0.035689570009708405,0.35744088888168335,0.0756610706448555
jpeg_compression,kodak24,kodim01,20,tv_discrepancy,0.6960891812865497,25.63993109247265,0.6869022846221924,0.9132863879203796,0.029776522889733315,0.35744088888168335,0.08175227046012878
jpeg_compression,kodak24,kodim01,30,tv_discrepancy,0.8821271929824561,26.173552557770567,0.7159512639045715,0.9271447658538818,0.028142953291535378,0.35744088888168335,0.08290482312440872
jpeg_compression,kodak24,kodim01,50,tv_discrepancy,1.2002923976608186,26.72454795012706,0.7398707270622253,0.9368276000022888,0.026734519749879837,0.35744088888168335,0.08533920347690582
jpeg_compression,kodak24,kodim01,70,tv_discrepancy,1.6162280701754386,27.062752287784043,0.7570645213127136,0.9427894949913025,0.02574111707508564,0.35744088888168335,0.08676410466432571
jpeg_compression,kodak24,kodim01,10,tv_chambolle_val,0.385233918128655,23.245162714232155,0.4950590133666992,0.7829972505569458,0.0440906397998333,0.35744088888168335,0.04640590772032738
jpeg_compression,kodak24,kodim01,20,tv_chambolle_val,0.5385599415204678,24.28573822611518,0.5633283257484436,0.843773603439331,0.04017259180545807,0.35744088888168335,0.049462635070085526
jpeg_compression,kodak24,kodim01,30,tv_chambolle_val,0.6675804093567251,24.730093585886642,0.5874714255332947,0.864607036113739,0.03912340849637985,0.35744088888168335,0.05010836943984032
jpeg_compression,kodak24,kodim01,50,tv_chambolle_val,0.8804824561403509,25.11820753938551,0.6096360087394714,0.8767821192741394,0.03831949457526207,0.35744088888168335,0.04967363923788071
jpeg_compression,kodak24,kodim01,70,tv_chambolle_val,1.1690423976608186,25.306304175329927,0.6219469308853149,0.8821048736572266,0.03807215020060539,0.35744088888168335,0.04897450655698776
jpeg_compression,kodak24,kodim01,10,ectv,0.5210160818713451,24.0954053059575,0.6397977471351624,0.8756296038627625,0.033045705407857895,0.35744088888168335,0.09657922387123108
jpeg_compression,kodak24,kodim01,20,ectv,0.8077485380116959,25.61932599779027,0.7109279036521912,0.9201412200927734,0.02771608717739582,0.35744088888168335,0.10652001947164536
