task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,gamma,lambda,alpha,eta,accepted
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,noisy,42.304330647157215,0.9714956283569336,0.979721188545227,0.00326067628338933,0.017970852553844452,0.017970852553844452,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,ectv,42.3043715719359,0.9714961051940918,0.9797214865684509,0.003260650672018528,0.017970852553844452,0.017970692366361618,1,0.04694579999886628,1.6096241024910036e-07,1.601874828338623e-07,0.9997130602287884,0.04,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,ectv_fidelity,42.30466365410243,0.9714992642402649,0.9797241687774658,0.0032604660373181105,0.017970852553844452,0.017969565466046333,1,0.03996289999849978,1.2876992819864971e-06,1.2870877981185913e-06,0.9997130602287884,0.32,0.08,0.3333333333333333,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,tv_maxiter,40.46145441403459,0.9714142680168152,0.9574844837188721,0.003514557844027877,0.017970852553844452,0.007904140278697014,14,0.07864020000124583,inf,0.010066712275147438,0.9997130602287884,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,tv_fixedk_val,40.07015692569173,0.969452440738678,0.9576655626296997,0.0034642755053937435,0.017970852553844452,0.007043609395623207,40,0.21827459999985876,,0.010927243158221245,0.9997130602287884,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,tv_discrepancy,43.2430759150858,0.9834449291229248,0.9856756329536438,0.0025522010400891304,0.017970852553844452,0.012151757255196571,3,0.019460499999695458,,0.0058190952986478806,0.9997130602287884,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,tv_chambolle_val,43.46110498604968,0.9842975735664368,0.9884470105171204,0.0022208259906619787,0.017970852553844452,0.012117495760321617,0,0.015785400000822847,,,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,gaussian_val,42.142333192993405,0.9835909008979797,0.97716224193573,0.002809940604493022,0.017970852553844452,0.010246639139950275,0,0.0003326999994897051,,,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,median_val,42.12354371218111,0.9823057055473328,0.9769601821899414,0.002563475165516138,0.017970852553844452,0.010085324756801128,0,0.0009592999995220453,,,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,bilateral_val,42.9775150398514,0.9787185192108154,0.9846332669258118,0.0027062990702688694,0.017970852553844452,0.016004517674446106,0,0.24529749999965134,,,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,pm_diff_val,43.37455325906667,0.9841320514678955,0.9882678389549255,0.00222102552652359,0.017970852553844452,0.01202060841023922,5,0.013648899999679998,,,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,wavelet_bayes,42.512877264918465,0.9739269614219666,0.9813487529754639,0.0031035426072776318,0.017970852553844452,0.01708937995135784,0,0.005038300001615426,,,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,nlm,42.61803819976157,0.9758646488189697,0.9831608533859253,0.0028107515536248684,0.017970852553844452,0.01624717377126217,0,0.04905689999941387,,,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,bm3d,42.503276284249964,0.9737744331359863,0.9807804822921753,0.003160649910569191,0.017970852553844452,0.01719663105905056,0,1.713655600000493,,,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,fdncnn_color,42.65834719860941,0.9753114581108093,0.9815853238105774,0.003075124928727746,0.017970852553844452,0.016621924936771393,0,1.893670999999813,,,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_11,0.5989805267676853,-1,ectv_fdncnn,42.30467999455634,0.9714996218681335,0.9797238707542419,0.003260499332100153,0.017970852553844452,0.017969565466046333,0,1.9400416999997105,1.2876992819864971e-06,1.2870877981185913e-06,0.9997130602287884,0.32,,0.3333333333333333,0.000880122184753418,0.0
real_camera,polyu_full,Canon5D2_5_160_3200_chair_14,0.8959564429045653,-1,noisy,39.73977462887659,0.9549716114997864,0.9734769463539124,0.003854794194921851,0.028370223939418793,0.028370223939418793,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_14,0.8959564429045653,-1,ectv,39.739876694749874,0.9549732208251953,0.9734779596328735,0.0038547213189303875,0.028370223939418793,0.028369490057229996,1,0.049017800000001444,7.351924775426994e-07,7.338821887969971e-07,0.9993582218738837,0.04,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_14,0.8959564429045653,-1,ectv_fidelity,39.74059057446325,0.9549837112426758,0.9734833836555481,0.0038542135152965784,0.028370223939418793,0.02836434356868267,1,0.0410316999987117,5.881539819740759e-06,5.880370736122131e-06,0.9993582218738837,0.32,0.08,0.3333333333333333,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_14,0.8959564429045653,-1,tv_maxiter,38.057120727195304,0.9328136444091797,0.9348713159561157,0.005150692071765661,0.028370223939418793,0.009323189966380596,15,0.08266879999973753,inf,0.019047033973038197,0.9993582218738837,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_14,0.8959564429045653,-1,tv_fixedk_val,38.13184571665417,0.9350080490112305,0.9349939227104187,0.004994995892047882,0.028370223939418793,0.008521049283444881,40,0.20176680000076885,,0.01984917465597391,0.9993582218738837,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_14,0.8959564429045653,-1,tv_discrepancy,40.26438551716372,0.9635059833526611,0.9769351482391357,0.0034850160591304302,0.028370223939418793,0.01958290860056877,2,0.01502009999967413,,0.008787315338850021,0.9993582218738837,,,,,
real_camera,polyu_full,Canon5D2_5_160_3200_chair_14,0.8959564429045653,-1,tv_chambolle_val,40.686348147687966,0.9705579876899719,0.9825208187103271,0.002861246233806014,0.028370223939418793,0.01808970235288143,0,0.015031299999463954,,,0.0,,,,,
