task,dataset,image,sigma255,method,detector,keypoints_1,keypoints_2,matches,inliers,inlier_ratio,corner_error,homography_success
feature_matching,kodak24,kodim04,50,noisy,sift,252,279,110,39,0.35454545454545455,3.279393434524536,0.0
feature_matching,kodak24,kodim04,50,tv_maxiter,orb,487,492,150,130,0.8666666666666667,8.6320161819458,0.0
feature_matching,kodak24,kodim04,50,tv_maxiter,sift,428,445,150,48,0.32,1.5926151275634766,1.0
feature_matching,kodak24,kodim04,50,tv_fixedk_val,orb,487,492,150,131,0.8733333333333333,9.92491340637207,0.0
feature_matching,kodak24,kodim04,50,tv_fixedk_val,sift,424,443,150,45,0.3,2.7582781314849854,1.0
feature_matching,kodak24,kodim04,50,tv_discrepancy,orb,487,492,150,130,0.8666666666666667,8.6320161819458,0.0
feature_matching,kodak24,kodim04,50,tv_discrepancy,sift,428,445,150,48,0.32,1.5926151275634766,1.0
feature_matching,kodak24,kodim04,50,tv_chambolle_val,orb,106,68,45,41,0.9111111111111111,5.31558084487915,0.0
feature_matching,kodak24,kodim04,50,tv_chambolle_val,sift,92,82,49,35,0.7142857142857143,1.5897798538208008,1.0
feature_matching,kodak24,kodim04,50,ectv,orb,487,492,150,130,0.8666666666666667,8.6320161819458,0.0
feature_matching,kodak24,kodim04,50,ectv,sift,428,445,150,48,0.32,1.5926151275634766,1.0
feature_matching,kodak24,kodim04,50,ectv_fidelity,orb,124,82,48,45,0.9375,9.803175926208496,0.0
feature_matching,kodak24,kodim04,50,ectv_fidelity,sift,99,92,50,39,0.78,2.574456214904785,1.0
feature_matching,kodak24,kodim04,50,bilateral_val,orb,172,150,72,49,0.6805555555555556,404.9049377441406,0.0
feature_matching,kodak24,kodim04,50,bilateral_val,sift,44,53,20,15,0.75,12.051164627075195,0.0
feature_matching,kodak24,kodim04,50,pm_diff_val,orb,263,220,95,62,0.6526315789473685,8.957117080688477,0.0
feature_matching,kodak24,kodim04,50,pm_diff_val,sift,234,252,107,58,0.5420560747663551,1.5562989711761475,1.0
feature_matching,kodak24,kodim04,50,wavelet_bayes,orb,135,97,47,35,0.7446808510638298,17.42212677001953,0.0
feature_matching,kodak24,kodim04,50,wavelet_bayes,sift,83,103,46,28,0.6086956521739131,3.0492258071899414,0.0
feature_matching,kodak24,kodim04,50,nlm,orb,87,44,31,27,0.8709677419354839,15.145999908447266,0.0
feature_matching,kodak24,kodim04,50,nlm,sift,65,62,37,32,0.8648648648648649,0.943272590637207,1.0
feature_matching,kodak24,kodim04,50,bm3d,orb,151,103,67,62,0.9253731343283582,5.1456708908081055,0.0
feature_matching,kodak24,kodim04,50,bm3d,sift,145,138,73,59,0.8082191780821918,2.6063649654388428,1.0
feature_matching,kodak24,kodim04,50,fdncnn_color,orb,147,107,64,60,0.9375,5.173573970794678,0.0
feature_matching,kodak24,kodim04,50,fdncnn_color,sift,110,115,64,45,0.703125,1.6506659984588623,1.0
feature_matching,kodak24,kodim04,50,ectv_fdncnn,orb,147,107,64,60,0.9375,5.173573970794678,0.0
feature_matching,kodak24,kodim04,50,ectv_fdncnn,sift,110,115,64,45,0.703125,1.6506659984588623,1.0
feature_matching,kodak24,kodim05,25,noisy,orb,538,558,150,150,1.0,0.6340705156326294,1.0
feature_matching,kodak24,kodim05,25,noisy,sift,630,618,150,147,0.98,0.7844886779785156,1.0
feature_matching,kodak24,kodim05,25,tv_maxiter,orb,537,545,150,150,1.0,0.4291939437389374,1.0
feature_matching,kodak24,kodim05,25,tv_maxiter,sift,699,642,150,150,1.0,0.5604218244552612,1.0
feature_matching,kodak24,kodim05,25,tv_fixedk_val,orb,535,543,150,150,1.0,0.975440502166748,1.0
feature_matching,kodak24,kodim05,25,tv_fixedk_val,sift,700,659,150,150,1.0,0.5511170625686646,1.0
feature_matching,kodak24,kodim05,25,tv_discrepancy,orb,537,545,150,150,1.0,0.4291939437389374,1.0
feature_matching,kodak24,kodim05,25,tv_discrepancy,sift,699,642,150,150,1.0,0.5604218244552612,1.0
feature_matching,kodak24,kodim05,25,tv_chambolle_val,orb,533,543,150,150,1.0,0.6253409385681152,1.0
feature_matching,kodak24,kodim05,25,tv_chambolle_val,sift,689,682,150,150,1.0,0.4037571847438812,1.0
feature_matching,kodak24,kodim05,25,ectv,orb,535,548,150,150,1.0,1.098974585533142,1.0
feature_matching,kodak24,kodim05,25,ectv,sift,700,700,150,149,0.9933333333333333,0.49783891439437866,1.0
feature_matching,kodak24,kodim05,25,ectv_fidelity,orb,530,540,150,150,1.0,0.5491777062416077,1.0
feature_matching,kodak24,kodim05,25,ectv_fidelity,sift,554,566,150,150,1.0,0.4808117151260376,1.0
feature_matching,kodak24,kodim05,25,bilateral_val,orb,516,526,150,150,1.0,1.1923452615737915,1.0
feature_matching,kodak24,kodim05,25,bilateral_val,sift,392,411,150,143,0.9533333333333334,0.9252986907958984,1.0
feature_matching,kodak24,kodim05,25,pm_diff_val,orb,533,537,150,150,1.0,0.408092737197876,1.0
feature_matching,kodak24,kodim05,25,pm_diff_val,sift,580,576,150,150,1.0,0.3762328028678894,1.0
feature_matching,kodak24,kodim05,25,wavelet_bayes,orb,537,541,150,150,1.0,0.4579492211341858,1.0
feature_matching,kodak24,kodim05,25,wavelet_bayes,sift,621,619,150,145,0.9666666666666667,1.036970853805542,1.0
feature_matching,kodak24,kodim05,25,nlm,orb,528,542,150,150,1.0,0.7503670454025269,1.0
feature_matching,kodak24,kodim05,25,nlm,sift,448,476,150,150,1.0,0.29167306423187256,1.0
feature_matching,kodak24,kodim05,25,bm3d,orb,535,545,150,150,1.0,0.5995486974716187,1.0
feature_matching,kodak24,kodim05,25,bm3d,sift,700,700,150,148,0.9866666666666667,0.2280420958995819,1.0
feature_matching,kodak24,kodim05,25,fdncnn_color,orb,535,546,150,150,1.0,0.622652530670166,1.0
feature_matching,kodak24,kodim05,25,fdncnn_color,sift,642,679,150,150,1.0,0.2025863230228424,1.0
feature_matching,kodak24,kodim05,25,ectv_fdncnn,orb,535,546,150,150,1.0,0.622652530670166,1.0
feature_matching,kodak24,kodim05,25,ectv_fdncnn,sift,642,679,150,150,1.0,0.2025863230228424,1.0
feature_matching,kodak24,kodim05,50,noisy,orb,544,561,150,148,0.9866666666666667,2.5274341106414795,1.0
feature_matching,kodak24,kodim05,50,noisy,sift,482,499,150,87,0.58,1.0037193298339844,1.0
feature_matching,kodak24,kodim05,50,tv_maxiter,orb,536,551,150,149,0.9933333333333333,1.018984079360962,1.0
feature_matching,kodak24,kodim05,50,tv_maxiter,sift,700,700,150,110,0.7333333333333333,0.3004729151725769,1.0
feature_matching,kodak24,kodim05,50,tv_fixedk_val,orb,537,550,150,150,1.0,0.6958326101303101,1.0
feature_matching,kodak24,kodim05,50,tv_fixedk_val,sift,700,700,150,107,0.7133333333333334,0.5155131220817566,1.0
feature_matching,kodak24,kodim05,50,tv_discrepancy,orb,536,551,150,149,0.9933333333333333,1.018984079360962,1.0
feature_matching,kodak24,kodim05,50,tv_discrepancy,sift,700,700,150,110,0.7333333333333333,0.3004729151725769,1.0
