task,dataset,image,sigma255,method,detector,keypoints_1,keypoints_2,matches,inliers,inlier_ratio,corner_error,homography_success
feature_matching,kodak24,kodim02,25,tv_chambolle_val,orb,104,111,74,72,0.972972972972973,14.088532447814941,0.0
feature_matching,kodak24,kodim02,25,tv_chambolle_val,sift,29,30,19,16,0.8421052631578947,7.737434387207031,0.0
feature_matching,kodak24,kodim02,25,ectv,orb,353,360,150,130,0.8666666666666667,8.698100090026855,0.0
feature_matching,kodak24,kodim02,25,ectv,sift,135,136,59,20,0.3389830508474576,24.445098876953125,0.0
feature_matching,kodak24,kodim02,25,ectv_fidelity,orb,131,138,85,84,0.9882352941176471,2.19913911819458,1.0
feature_matching,kodak24,kodim02,25,ectv_fidelity,sift,36,37,21,17,0.8095238095238095,8.771326065063477,0.0
feature_matching,kodak24,kodim02,25,bilateral_val,orb,128,128,82,74,0.9024390243902439,31.252567291259766,0.0
feature_matching,kodak24,kodim02,25,bilateral_val,sift,19,9,6,5,0.8333333333333334,247.97836303710938,0.0
feature_matching,kodak24,kodim02,25,pm_diff_val,orb,107,109,73,72,0.9863013698630136,9.505136489868164,0.0
feature_matching,kodak24,kodim02,25,pm_diff_val,sift,46,41,29,23,0.7931034482758621,3.469994068145752,0.0
feature_matching,kodak24,kodim02,25,wavelet_bayes,orb,149,135,78,70,0.8974358974358975,24.374597549438477,0.0
feature_matching,kodak24,kodim02,25,wavelet_bayes,sift,25,30,15,11,0.7333333333333333,19.028013229370117,0.0
