task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,gamma,lambda,alpha,eta,accepted
synthetic_image,kodak24,kodim05,25.0,0,swinir_color,29.014705047847013,0.9012163281440735,0.9791361344069528,0.01938457041978836,0.37116989493370056,0.13593325018882751,0,11.050913600000058,,0.23523664474487305,0.0,,,,,
synthetic_image,kodak24,kodim05,25.0,0,ectv_swinir,29.014705047847013,0.9012163281440735,0.9791361344069528,0.01938457041978836,0.37116989493370056,0.13593325018882751,0,11.065002699997422,0.33330865074633204,0.23523664474487305,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim06,25.0,0,swinir_color,31.302367463539102,0.8597562313079834,0.9689969671112173,0.013297499157488346,0.3347497880458832,0.06478172540664673,0,11.818697900002007,,0.26996806263923645,0.0,,,,,
synthetic_image,kodak24,kodim06,25.0,0,ectv_swinir,31.302367463539102,0.8597562313079834,0.9689969671112173,0.013297499157488346,0.3347497880458832,0.06478172540664673,0,11.831475500002853,0.33330865074633204,0.26996806263923645,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim07,25.0,0,swinir_color,32.30462056971193,0.9422306418418884,0.9766311596395505,0.011744143441319466,0.34690189361572266,0.08460079878568649,0,12.940831200001412,,0.26230109483003616,0.0,,,,,
synthetic_image,kodak24,kodim07,25.0,0,ectv_swinir,32.30462056971193,0.9422306418418884,0.9766311596395505,0.011744143441319466,0.34690189361572266,0.08460079878568649,0,12.948703800000658,0.33330865074633204,0.26230109483003616,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim08,25.0,0,swinir_color,30.32737237477752,0.9359946250915527,0.9888003314485726,0.016832977533340454,0.39053454995155334,0.16472017765045166,0,12.376668400000199,,0.22581437230110168,0.0,,,,,
synthetic_image,kodak24,kodim08,25.0,0,ectv_swinir,30.32737237477752,0.9359946250915527,0.9888003314485726,0.016832977533340454,0.39053454995155334,0.16472017765045166,0,12.38805019999927,0.33330865074633204,0.22581437230110168,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim09,25.0,0,swinir_color,33.94801772736655,0.9378182291984558,0.9795963946432994,0.009013524278998375,0.34133896231651306,0.054522838443517685,0,11.206211000000621,,0.2868161238729954,0.0,,,,,
synthetic_image,kodak24,kodim09,25.0,0,ectv_swinir,33.94801772736655,0.9378182291984558,0.9795963946432994,0.009013524278998375,0.34133896231651306,0.054522838443517685,0,11.217204300002777,0.33330865074633204,0.2868161238729954,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim10,25.0,0,swinir_color,33.37666697491273,0.9211599230766296,0.9733104082816924,0.010657968930900097,0.3377695679664612,0.052841756492853165,0,10.558995600000344,,0.284927811473608,0.0,,,,,
synthetic_image,kodak24,kodim10,25.0,0,ectv_swinir,33.37666697491273,0.9211599230766296,0.9733104082816924,0.010657968930900097,0.3377695679664612,0.052841756492853165,0,10.565324600000167,0.33330865074633204,0.284927811473608,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim11,25.0,0,swinir_color,31.91519114410741,0.8819878101348877,0.9719635804802078,0.012459853664040565,0.33483368158340454,0.06335392594337463,0,10.25380099999893,,0.2714797556400299,0.0,,,,,
synthetic_image,kodak24,kodim11,25.0,0,ectv_swinir,31.91519114410741,0.8819878101348877,0.9719635804802078,0.012459853664040565,0.33483368158340454,0.06335392594337463,0,10.2613640999989,0.33330865074633204,0.2714797556400299,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim12,25.0,0,swinir_color,34.24885223677361,0.8938199877738953,0.9803613371987931,0.009449925273656845,0.33175522089004517,0.0408523827791214,0,12.226249400002416,,0.29090283811092377,0.0,,,,,
synthetic_image,kodak24,kodim12,25.0,0,ectv_swinir,34.24885223677361,0.8938199877738953,0.9803613371987931,0.009449925273656845,0.33175522089004517,0.0408523827791214,0,12.233129899999767,0.33330865074633204,0.29090283811092377,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim13,25.0,0,swinir_color,28.852337683471518,0.84779292345047,0.9654724731146168,0.02001984603703022,0.36230039596557617,0.11065790057182312,0,13.0832330000012,,0.25164249539375305,0.0,,,,,
synthetic_image,kodak24,kodim13,25.0,0,ectv_swinir,28.852337683471518,0.84779292345047,0.9654724731146168,0.02001984603703022,0.36230039596557617,0.11065790057182312,0,13.097483599998668,0.33330865074633204,0.25164249539375305,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim14,25.0,0,swinir_color,30.032483061492357,0.8708806037902832,0.965664048865803,0.01665464974939823,0.3466903269290924,0.08966280519962311,0,14.140407000002597,,0.2570275217294693,0.0,,,,,
synthetic_image,kodak24,kodim14,25.0,0,ectv_swinir,30.032483061492357,0.8708806037902832,0.965664048865803,0.01665464974939823,0.3466903269290924,0.08966280519962311,0,14.15216540000256,0.33330865074633204,0.2570275217294693,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim15,25.0,0,swinir_color,32.67459431087858,0.9179087281227112,0.9869303733706041,0.00924835167825222,0.31703945994377136,0.05342051386833191,0,11.963703199999145,,0.26361894607543945,0.0,,,,,
synthetic_image,kodak24,kodim15,25.0,0,ectv_swinir,32.67459431087858,0.9179087281227112,0.9869303733706041,0.00924835167825222,0.31703945994377136,0.05342051386833191,0,11.984853699999803,0.33330865074633204,0.26361894607543945,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim16,25.0,0,swinir_color,33.613846298772,0.8756244778633118,0.9438298335726647,0.011300191283226013,0.3292142152786255,0.03847431018948555,0,12.943821199998638,,0.29073990508913994,0.0,,,,,
synthetic_image,kodak24,kodim16,25.0,0,ectv_swinir,33.613846298772,0.8756244778633118,0.9438298335726647,0.011300191283226013,0.3292142152786255,0.03847431018948555,0,12.953298000000359,0.33330865074633204,0.29073990508913994,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
